param2,param1,min_dist,min_radius,max_radius,dp,circles,ellipses,raw_count,adjusted,out_file,elapsed_ms
50,50,15,8,50,1.0,1,0,1,0.9,output__p1=50_p2=50_md=15_r=8-50_dp=1.0.jpg,97.4
50,50,15,8,50,1.2,282,0,282,253.8,output__p1=50_p2=50_md=15_r=8-50_dp=1.2.jpg,984.5
50,50,15,8,50,1.5,3888,0,3888,3499.2000000000003,output__p1=50_p2=50_md=15_r=8-50_dp=1.5.jpg,1733.5
50,50,25,8,50,1.0,1,0,1,0.9,output__p1=50_p2=50_md=25_r=8-50_dp=1.0.jpg,158.4
50,50,25,8,50,1.2,246,0,246,221.4,output__p1=50_p2=50_md=25_r=8-50_dp=1.2.jpg,278.1
50,50,25,8,50,1.5,1833,0,1833,1649.7,output__p1=50_p2=50_md=25_r=8-50_dp=1.5.jpg,876.3
50,50,40,8,50,1.0,1,0,1,0.9,output__p1=50_p2=50_md=40_r=8-50_dp=1.0.jpg,285.5
50,50,40,8,50,1.2,223,0,223,200.70000000000002,output__p1=50_p2=50_md=40_r=8-50_dp=1.2.jpg,126.5
50,50,40,8,50,1.5,819,0,819,737.1,output__p1=50_p2=50_md=40_r=8-50_dp=1.5.jpg,1068.7
50,80,15,8,50,1.0,1,0,1,0.9,output__p1=80_p2=50_md=15_r=8-50_dp=1.0.jpg,105.5
50,80,15,8,50,1.2,183,0,183,164.70000000000002,output__p1=80_p2=50_md=15_r=8-50_dp=1.2.jpg,96.3
50,80,15,8,50,1.5,3006,0,3006,2705.4,output__p1=80_p2=50_md=15_r=8-50_dp=1.5.jpg,675.2
50,80,25,8,50,1.0,1,0,1,0.9,output__p1=80_p2=50_md=25_r=8-50_dp=1.0.jpg,89.8
50,80,25,8,50,1.2,167,0,167,150.3,output__p1=80_p2=50_md=25_r=8-50_dp=1.2.jpg,79.5
50,80,25,8,50,1.5,1504,0,1504,1353.6000000000001,output__p1=80_p2=50_md=25_r=8-50_dp=1.5.jpg,444.9
50,80,40,8,50,1.0,1,0,1,0.9,output__p1=80_p2=50_md=40_r=8-50_dp=1.0.jpg,99.9
50,80,40,8,50,1.2,159,0,159,143.1,output__p1=80_p2=50_md=40_r=8-50_dp=1.2.jpg,83.1
50,80,40,8,50,1.5,764,0,764,687.6,output__p1=80_p2=50_md=40_r=8-50_dp=1.5.jpg,567.9
50,120,15,8,50,1.0,0,0,0,0.0,output__p1=120_p2=50_md=15_r=8-50_dp=1.0.jpg,85.5
50,120,15,8,50,1.2,106,0,106,95.4,output__p1=120_p2=50_md=15_r=8-50_dp=1.2.jpg,79.6
50,120,15,8,50,1.5,1969,0,1969,1772.1000000000001,output__p1=120_p2=50_md=15_r=8-50_dp=1.5.jpg,270.8
50,120,25,8,50,1.0,0,0,0,0.0,output__p1=120_p2=50_md=25_r=8-50_dp=1.0.jpg,88.5
50,120,25,8,50,1.2,99,0,99,89.10000000000001,output__p1=120_p2=50_md=25_r=8-50_dp=1.2.jpg,80.9
50,120,25,8,50,1.5,1108,0,1108,997.2,output__p1=120_p2=50_md=25_r=8-50_dp=1.5.jpg,290.3
50,120,40,8,50,1.0,0,0,0,0.0,output__p1=120_p2=50_md=40_r=8-50_dp=1.0.jpg,81.7
50,120,40,8,50,1.2,94,0,94,84.60000000000001,output__p1=120_p2=50_md=40_r=8-50_dp=1.2.jpg,67.3
50,120,40,8,50,1.5,620,0,620,558.0,output__p1=120_p2=50_md=40_r=8-50_dp=1.5.jpg,245.3
15,50,15,10,70,1.0,7664,0,7664,6897.6,output__p1=50_p2=15_md=15_r=10-70_dp=1.0.jpg,12565.6
15,50,15,10,70,1.2,7565,0,7565,6808.5,output__p1=50_p2=15_md=15_r=10-70_dp=1.2.jpg,8480.9
15,50,15,10,70,1.5,7626,0,7626,6863.400000000001,output__p1=50_p2=15_md=15_r=10-70_dp=1.5.jpg,6168.6
15,50,25,10,70,1.0,2895,0,2895,2605.5,output__p1=50_p2=15_md=25_r=10-70_dp=1.0.jpg,8617.8
